Summary:
+-------------+--------------------------+------------------------+
| Total tests |     Total Execution Time | Average Execution Time |
+-------------+--------------------------+------------------------+
|         154 | 33 minutes 31.72 seconds |          13.06 seconds |
+-------------+--------------------------+------------------------+
Results:
+---------------------------+---------+----------+----------+----------+----------+----------+
| Instance name             | # nodes | Result_A | Result_F | Result_M | Result_N | Result_S |
+---------------------------+---------+----------+----------+----------+----------+----------+
| data/bht.txt              |    5757 |    False |        0 |  Not run |        6 |    False |
| data/common-1-100.txt     |     100 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-1000.txt    |    1000 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-1500.txt    |    1500 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-20.txt      |      20 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-2000.txt    |    2000 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-250.txt     |     250 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-2500.txt    |    2500 |    False |        1 |  Not run |       -1 |    False |
| data/common-1-3000.txt    |    3000 |    False |        1 |  Not run |       -1 |    False |
| data/common-1-3500.txt    |    3500 |    False |        1 |  Not run |       -1 |    False |
| data/common-1-4000.txt    |    4000 |    False |        1 |  Not run |       -1 |    False |
| data/common-1-4500.txt    |    4500 |     True |        1 |  Not run |       -1 |    False |
| data/common-1-50.txt      |      50 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-500.txt     |     500 |    False |       -1 |  Not run |       -1 |    False |
| data/common-1-5000.txt    |    5000 |     True |        1 |  Not run |       -1 |    False |
| data/common-1-5757.txt    |    5757 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-100.txt     |     100 |    False |       -1 |  Not run |       -1 |    False |
| data/common-2-1000.txt    |    1000 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-1500.txt    |    1500 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-20.txt      |      20 |    False |       -1 |  Not run |       -1 |    False |
| data/common-2-2000.txt    |    2000 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-250.txt     |     250 |    False |       -1 |  Not run |       -1 |    False |
| data/common-2-2500.txt    |    2500 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-3000.txt    |    3000 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-3500.txt    |    3500 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-4000.txt    |    4000 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-4500.txt    |    4500 |     True |        1 |  Not run |       -1 |    False |
| data/common-2-50.txt      |      50 |    False |       -1 |  Not run |       -1 |    False |
